Date,Time,Description,Type,Amount,Balance,Mode,Ref
01-01-2024,03:11,AMAZON SELLER SVCS,Debit,₹2462,678275,UPI,TXN190872
01-Jan-24,05:44,BHIM-BMTC,DR,50,681007,UPI,TXN143064
01-Jan-24,09:35,NEFT-TECHCRUSH LABS-SALARY MAY24,CR,₹84728,484728,NEFT,TXN246316
01-01-2024,14:07,UPI-AMAN-8934@OKAXIS,Debit,₹1828,-748745,UPI,TXN569226
01-Jan-24,14:23,BHIM-BLINKIT,Debit,270,680737,UPI,TXN968962
01-01-2024,14:48,BHIM ZEPTO,DR,Rs. 625,677650,UPI,TXN370902
01-01-2024,14:50,UPI-UBER-2426@HDFCBANK,Debit,Rs. 148,677020,UPI,TXN546173
01-Jan-24,21:44,BHIM-BLINKIT,Debit,₹482,677168,UPI,TXN599219
02-01-2024,05:18,POS SWIGGY BANGALORE,Debit,Rs. 537,676177,UPI,TXN293319
02-01-2024,06:55,UPI-GROWWPAY@HDFCBANK,DR,3956,672221,UPI,TXN418594
02-01-2024,07:26,OLA ELECTRIC,Debit,₹350,670989,UPI,TXN377405
02-Jan-24,07:39,BMS MOVIE TICKETS,Debit,₹311,671339,UPI,TXN282256
02-01-2024,11:29,POS OLA-PRIME,DR,258,676762,UPI,TXN389930
02-Jan-24,12:35,SWIGGY-INSTAMART,Debit,₹571,671650,UPI,TXN717113
02-Jan-24,14:01,UPI-STARBUCKS@AXIS,Debit,266,670051,UPI,TXN283700
02-01-2024,15:42,UPI-THIRDWAVE@OKAXIS,DR,₹405,670584,UPI,TXN422554
02-01-2024,20:58,ANI Technologies,Debit,267,670317,UPI,TXN553014
02-01-2024,22:33,BMTC BUS PASS,Debit,Rs. 48,676714,UPI,TXN387636
03-Jan-24,00:55,POS TRUFFLES,Debit,₹1411,667323,UPI,TXN675898
03-01-2024,11:29,FLIPKART INDIA,DR,"2,557.00",663991,UPI,TXN535098
03-01-2024,12:56,POS SWIGGY-RESTAURANT,DR,₹537,666786,UPI,TXN527809
03-01-2024,19:18,GROFERS INDIA P L,Debit,878,668734,UPI,TXN639593
03-01-2024,21:11,POS UBER BANGALORE,Debit,₹439,669612,UPI,TXN268637
03-01-2024,23:58,POS SWIGGY-RESTAURANT,Debit,₹238,666548,UPI,TXN975271
04-Jan-24,00:09,BANGALORE ELEC SUPPLY,Debit,1639,659661,UPI,TXN993744
04-01-2024,09:00,TWC INDIA,DR,Rs. 272,663719,UPI,TXN448588
04-Jan-24,09:42,UPI-BESCOM-BILL@HDFCBANK,DR,"Rs. 2,135",661300,UPI,TXN651499
04-Jan-24,13:48,UPI-AMAN-0816@OKAXIS,Debit,₹2314,-762689,UPI,TXN512464
04-Jan-24,15:20,ROPPEN TRANSPORTATION,DR,Rs. 159,659502,UPI,TXN203225
04-01-2024,16:06,UPI-STARBUCKS@AXIS,Debit,Rs. 447,659055,UPI,TXN356059
04-01-2024,16:29,OLA CABS,Debit,284,663435,UPI,TXN839485
05-Jan-24,00:51,POS ZOMATO,Debit,Rs. 438,658408,UPI,TXN362246
05-01-2024,07:24,UPI-AMAZONPAY@HDFCBANK,Debit,4208,654200,UPI,TXN515032
05-01-2024,08:58,POS BLINKIT,Debit,502,652929,UPI,TXN970813
05-01-2024,11:43,IMPS-RENT-LANDLORD-75500265,Debit,"18,000.00",466728,IMPS,TXN948749
05-01-2024,12:48,ZOMATO MEDIA P L,DR,Rs. 569,653431,UPI,TXN707727
05-Jan-24,16:51,UPI-ANKIT-6430@OKAXIS,DR,2115,-739917,UPI,TXN170038
05-Jan-24,17:43,BHIM ZEPTO,DR,Rs. 200,654000,UPI,TXN767542
05-01-2024,19:10,UPI-OLACABS@HDFCBANK,DR,209,658846,UPI,TXN581894
05-Jan-24,21:30,POS ZOMATO,DR,₹695,652234,UPI,TXN809176
06-Jan-24,07:26,UPI-JIORECHARGE@PAYTM,DR,₹258,650045,UPI,TXN575679
06-Jan-24,09:13,UPI-CCD@HDFCBANK,DR,Rs. 358,647279,UPI,TXN937302
06-01-2024,15:28,Swiggy*Order,Debit,₹407,648885,UPI,TXN228093
